temperature,ph,dissolved_oxygen,salinity,water_color,mortality_count,feed_given,pond_age,disease_risk
32.2,8.1,4.9,30,Black,25,254,15,High
29.4,8.5,3.8,15,Light Green,8,108,32,Moderate
31.0,7.6,2.0,23,Brown,38,149,140,Moderate
28.3,6.9,2.5,15,Brown,15,236,147,Moderate
28.0,6.6,3.1,23,Black,6,208,43,High
24.3,6.8,6.2,31,Black,18,154,108,High
25.6,8.9,7.1,9,Light Green,8,153,10,Moderate
29.5,9.4,4.1,7,Dark Green,26,45,87,High
27.2,7.9,7.8,16,Black,22,179,90,Moderate
29.1,7.4,5.0,31,Black,25,100,114,Moderate
25.3,8.5,4.3,20,Light Green,34,136,78,Moderate
32.9,6.8,6.5,25,Green,32,211,105,Moderate
24.5,9.2,7.2,8,Green,13,129,57,Moderate
30.7,8.3,4.1,30,Black,3,252,27,Moderate
33.0,6.7,3.8,23,Dark Green,38,95,120,High
27.8,9.0,7.2,9,Green,1,271,127,Healthy
26.3,8.0,2.4,10,Brown,8,47,74,Moderate
29.8,9.4,5.0,22,Green,8,50,65,Healthy
31.2,6.9,4.6,6,Dark Green,16,108,50,High
30.2,8.6,7.2,12,Green,12,127,111,Healthy
31.1,7.4,4.1,18,Dark Green,32,192,33,High
32.0,9.2,3.3,26,Brown,24,38,47,High
27.6,9.3,3.0,13,Brown,18,185,24,High
30.6,7.7,8.0,20,Green,11,136,59,Healthy
33.1,9.4,4.3,19,Green,39,130,115,High
30.5,9.1,5.3,17,Light Green,21,147,22,Moderate
25.7,8.7,2.6,35,Green,8,214,125,Moderate
24.0,9.2,4.4,15,Green,28,52,24,High
26.2,7.4,4.9,12,Black,7,22,15,Moderate
24.3,7.6,2.0,33,Light Green,24,221,127,High
29.2,7.3,2.1,6,Dark Green,12,103,37,Moderate
27.0,8.8,4.1,18,Brown,33,144,51,Moderate
26.6,9.4,3.3,7,Dark Green,28,187,61,High
31.4,6.7,7.1,13,Brown,6,106,48,Moderate
27.6,7.2,4.3,8,Brown,24,116,13,Moderate
28.7,8.4,5.8,35,Black,29,47,93,Moderate
32.2,8.2,4.1,25,Dark Green,33,240,50,Moderate
33.3,9.4,2.3,13,Green,0,154,138,Moderate
26.7,6.6,7.0,25,Green,7,234,56,Healthy
25.7,8.8,6.1,7,Dark Green,31,260,78,High
28.9,6.6,7.0,25,Black,1,211,61,Moderate
32.2,8.3,5.1,29,Green,0,139,16,Healthy
32.5,7.9,4.5,5,Light Green,1,233,140,Healthy
32.7,8.9,2.4,10,Brown,31,141,34,High
25.6,9.2,6.2,13,Green,8,282,129,Moderate
27.2,7.8,3.6,30,Green,28,21,117,Moderate
34.6,7.2,5.1,24,Dark Green,40,279,114,High
30.7,6.7,7.0,33,Light Green,8,259,57,Healthy
32.6,7.0,5.9,17,Green,23,254,103,Moderate
24.2,9.4,3.3,33,Dark Green,8,55,44,High
26.9,8.4,2.5,24,Black,19,40,150,High
33.8,7.5,5.7,12,Dark Green,36,138,48,Moderate
28.6,9.4,2.5,23,Dark Green,34,220,93,High
31.5,9.2,7.8,11,Black,31,207,131,High
29.5,9.5,6.4,6,Black,12,127,37,Moderate
28.4,7.5,4.9,9,Dark Green,9,55,74,Moderate
24.1,7.3,6.2,8,Brown,1,176,124,Moderate
30.6,9.3,4.9,20,Light Green,1,136,38,Healthy
29.0,7.1,6.9,14,Brown,39,23,146,Moderate
24.5,8.8,2.3,20,Light Green,6,157,122,Moderate
29.2,7.3,7.8,28,Black,28,60,138,Moderate
30.1,8.0,5.1,32,Brown,0,55,117,Healthy
25.2,7.6,6.1,34,Dark Green,6,298,74,Moderate
33.1,8.3,4.8,31,Dark Green,3,47,94,Moderate
26.9,8.2,7.6,34,Brown,20,257,14,Moderate
30.9,7.3,7.7,31,Black,5,150,50,Moderate
32.4,6.6,5.1,17,Brown,15,95,1,Moderate
29.5,8.2,2.1,24,Black,20,292,15,High
30.9,9.2,2.7,29,Light Green,23,142,75,High
32.6,8.2,6.9,24,Dark Green,33,164,12,Moderate
26.6,6.8,4.8,6,Light Green,12,165,83,Moderate
28.9,7.7,3.4,26,Black,36,118,20,High
24.1,8.9,2.1,25,Black,38,267,83,High
32.5,9.0,7.3,32,Brown,38,210,58,Moderate
33.7,9.1,7.5,8,Light Green,33,38,128,Moderate
27.1,9.1,5.9,21,Light Green,21,299,86,Moderate
27.8,6.9,6.7,25,Green,26,197,126,Moderate
25.5,8.9,6.9,30,Green,21,282,37,Moderate
31.9,8.8,6.2,20,Dark Green,10,274,148,Moderate
31.9,9.2,6.4,29,Green,7,128,108,Moderate
26.2,6.5,3.9,14,Green,6,217,137,Moderate
24.7,9.2,2.5,29,Dark Green,21,46,124,High
27.9,9.2,5.3,11,Light Green,25,296,53,Moderate
30.7,7.7,6.4,9,Brown,12,193,78,Healthy
28.5,9.5,6.2,5,Green,29,193,127,Moderate
28.9,6.7,6.9,7,Black,27,169,76,High
26.8,8.9,7.3,32,Black,34,20,21,Moderate
31.7,6.7,3.5,6,Light Green,30,139,22,High
27.3,8.5,6.1,18,Dark Green,17,242,135,Moderate
34.9,8.7,5.0,20,Green,0,193,56,Healthy
24.3,7.4,4.1,31,Black,11,211,40,High
32.1,8.3,6.8,29,Brown,16,192,84,Moderate
32.9,7.8,5.0,23,Light Green,19,290,121,Moderate
26.7,9.2,2.5,12,Dark Green,12,208,65,High
24.7,9.2,3.5,9,Light Green,39,171,17,High
29.2,7.1,4.7,10,Dark Green,9,209,96,Moderate
34.5,8.7,4.4,31,Light Green,31,271,79,Moderate
25.5,6.6,2.7,10,Green,16,283,54,High
34.7,6.6,4.0,12,Light Green,5,92,35,Moderate
34.8,9.2,5.2,16,Black,33,298,21,High
28.9,6.8,7.2,25,Dark Green,32,79,34,Moderate
30.1,9.3,2.7,15,Black,38,105,33,High
34.2,8.7,7.0,14,Black,27,88,37,High
26.2,9.3,6.6,8,Black,9,161,68,Moderate
31.2,7.9,7.0,28,Brown,27,153,112,Moderate
32.3,8.5,2.8,35,Black,27,217,53,High
29.8,8.7,2.4,23,Light Green,25,100,21,Moderate
29.8,6.8,7.7,22,Black,21,105,40,High
27.1,8.0,5.2,6,Light Green,17,217,46,Healthy
30.2,8.0,3.5,13,Brown,0,42,143,Moderate
29.6,7.3,6.0,21,Brown,29,262,103,Moderate
31.4,6.9,6.4,33,Dark Green,29,143,59,High
30.6,8.0,6.4,19,Green,20,59,64,Healthy
33.1,8.4,4.4,7,Brown,8,224,53,Moderate
24.6,6.8,3.6,26,Black,10,74,85,High
31.2,7.8,5.3,22,Brown,35,59,94,Moderate
29.2,7.1,6.5,21,Light Green,20,32,6,Moderate
27.4,6.7,3.6,24,Green,36,20,35,High
26.4,7.4,7.6,11,Brown,6,99,126,Healthy
25.9,9.5,6.0,14,Brown,29,164,27,High
29.3,8.0,6.2,24,Brown,20,154,14,Moderate
27.6,8.4,7.7,9,Light Green,37,180,15,Healthy
34.1,7.5,2.4,15,Black,34,214,49,High
32.2,9.2,3.7,5,Light Green,0,217,124,Moderate
24.6,6.5,4.1,30,Green,11,137,2,Moderate
34.1,6.7,7.1,25,Brown,0,79,127,Moderate
26.6,8.3,6.4,15,Green,30,213,89,Healthy
28.2,7.5,5.2,22,Brown,8,111,115,Healthy
27.1,6.9,5.3,9,Brown,20,264,32,Moderate
27.4,6.5,6.7,14,Black,28,210,19,High
31.3,8.9,7.8,26,Light Green,27,172,84,Moderate
33.6,9.1,7.1,13,Green,33,197,16,Moderate
28.2,7.8,6.0,28,Light Green,1,168,2,Healthy
25.0,8.5,3.0,28,Brown,35,171,141,High
32.2,8.2,4.3,34,Green,21,45,50,Moderate
25.0,9.3,7.8,9,Green,11,276,141,Moderate
32.4,9.3,6.8,6,Black,37,33,60,High
30.8,9.1,3.1,16,Black,35,120,119,High
24.4,9.3,2.0,35,Dark Green,9,93,34,High
32.2,8.3,2.5,30,Dark Green,23,53,141,High
30.8,6.6,4.9,8,Dark Green,28,147,5,High
31.4,8.6,5.9,26,Dark Green,13,146,72,Moderate
26.7,8.2,3.5,24,Green,19,265,124,Moderate
33.1,9.4,7.7,24,Brown,16,207,145,High
31.6,7.5,3.0,21,Dark Green,37,147,144,High
26.2,7.9,2.6,8,Dark Green,38,285,132,High
33.9,8.5,6.4,31,Black,40,117,30,High
27.6,9.2,6.1,29,Green,27,212,112,Moderate
25.3,7.9,4.0,30,Green,18,221,10,Moderate
27.0,7.8,2.9,20,Black,0,227,28,Moderate
34.3,8.0,4.8,32,Green,2,56,115,Healthy
25.7,8.8,4.6,15,Light Green,12,154,117,Moderate
33.5,9.1,3.8,25,Light Green,11,52,100,High
29.6,8.4,7.5,28,Dark Green,5,63,102,Healthy
31.3,7.4,7.6,30,Black,24,52,33,High
30.9,7.4,2.6,32,Light Green,37,71,71,Moderate
30.5,7.7,6.6,31,Black,1,20,2,Healthy
26.9,8.3,4.8,14,Brown,8,30,55,Healthy
32.7,7.4,7.5,31,Light Green,0,57,43,Healthy
26.0,7.7,5.8,15,Dark Green,12,257,63,Healthy
34.3,7.7,6.5,19,Dark Green,17,168,104,Moderate
29.7,9.0,6.0,29,Green,11,20,69,Healthy
24.3,7.4,2.3,24,Brown,19,227,43,High
32.8,7.9,4.3,30,Dark Green,28,195,54,Moderate
30.2,8.6,3.6,9,Green,27,198,75,Moderate
25.1,8.7,2.4,18,Green,16,87,121,High
31.6,8.4,7.8,31,Brown,24,86,59,Moderate
25.0,7.6,7.9,30,Black,19,247,60,High
27.2,8.0,4.8,10,Green,27,277,106,Moderate
32.8,6.6,4.6,7,Light Green,9,243,97,Moderate
30.9,7.7,7.4,25,Light Green,11,86,107,Healthy
26.9,8.8,6.7,8,Green,37,234,6,Moderate
30.3,7.4,8.0,34,Brown,11,109,29,Healthy
28.0,8.8,4.6,35,Dark Green,40,250,31,Moderate
27.2,7.0,2.5,22,Black,40,50,74,High
27.8,8.0,3.8,35,Brown,17,71,64,Moderate
24.3,6.6,8.0,16,Black,4,172,53,Moderate
31.2,7.5,7.4,12,Light Green,12,107,54,Healthy
33.9,6.7,2.3,15,Light Green,9,20,142,High
24.4,6.9,3.9,17,Black,13,256,35,High
25.0,7.4,5.5,5,Light Green,21,244,50,Moderate
26.2,7.2,5.6,28,Green,25,192,150,Moderate
31.1,7.1,2.3,14,Light Green,25,283,5,High
24.4,9.2,5.2,13,Dark Green,34,67,78,High
32.5,7.8,6.6,11,Dark Green,10,64,139,Moderate
26.3,8.6,2.9,8,Brown,25,140,9,High
24.7,7.4,7.4,15,Black,2,271,8,Moderate
30.9,8.3,4.0,22,Light Green,31,43,68,Moderate
24.0,7.6,2.9,22,Dark Green,25,60,65,High
34.8,7.0,4.1,16,Green,3,245,124,Moderate
31.2,6.7,7.5,20,Black,39,56,91,High
28.9,7.0,3.3,13,Light Green,35,51,73,Moderate
30.8,8.3,2.6,9,Dark Green,39,76,139,High
34.4,7.9,4.8,8,Dark Green,28,223,18,High
31.3,9.3,2.1,29,Black,33,207,29,High
32.7,9.1,6.6,29,Black,2,90,43,Moderate
28.5,7.6,6.1,14,Dark Green,29,144,96,Moderate
26.7,8.5,3.1,12,Light Green,36,117,19,Moderate
30.9,7.7,5.0,17,Green,17,28,144,Healthy
27.5,8.0,5.5,31,Dark Green,0,173,121,Healthy
24.5,8.1,3.3,27,Dark Green,24,146,150,High
33.8,7.6,2.9,29,Brown,28,45,32,High
25.7,8.8,7.9,5,Green,33,231,70,Moderate
28.0,9.4,4.9,27,Black,24,92,71,High
24.9,9.0,7.9,30,Dark Green,33,66,103,High
31.6,6.8,5.9,19,Green,14,22,129,Moderate
33.2,8.5,3.4,18,Light Green,18,48,24,High
28.9,7.2,2.5,22,Light Green,14,289,27,Moderate
28.7,8.2,3.2,6,Light Green,5,227,50,Healthy
24.7,8.2,3.0,27,Brown,29,233,30,High
28.9,8.8,3.3,5,Green,9,171,29,Moderate
34.5,7.2,7.2,21,Green,40,172,85,Moderate
26.2,9.1,6.4,29,Dark Green,13,286,144,Moderate
29.9,6.8,2.1,26,Light Green,27,198,79,High
31.8,8.6,2.9,15,Green,40,127,125,High
24.0,7.3,5.7,16,Green,9,78,132,Moderate
33.0,6.7,5.3,20,Brown,20,121,149,Moderate
32.5,7.5,4.7,9,Light Green,19,179,117,Moderate
34.5,8.1,5.3,31,Black,36,170,147,High
24.3,9.3,5.5,16,Light Green,4,30,57,Moderate
30.2,8.5,2.7,5,Brown,6,73,40,Moderate
25.1,8.8,5.6,17,Black,15,238,109,Moderate
28.4,8.8,4.9,12,Black,19,272,112,High
28.3,8.0,5.3,20,Green,16,128,3,Healthy
27.9,8.0,2.5,16,Light Green,12,102,89,Moderate
33.5,6.9,2.6,34,Dark Green,40,158,35,High
34.7,8.5,7.4,26,Light Green,18,144,130,Moderate
28.5,7.0,7.2,15,Black,16,158,142,Moderate
30.2,6.9,2.5,24,Dark Green,7,59,99,High
25.3,7.8,5.5,17,Black,17,110,39,High
31.0,9.1,3.1,27,Green,27,299,40,High
27.8,7.6,6.0,35,Dark Green,14,112,119,Healthy
33.1,8.6,2.1,15,Light Green,4,123,89,Moderate
25.0,7.6,4.7,21,Light Green,39,257,54,Moderate
35.0,9.3,4.1,24,Green,19,255,120,High
28.0,8.2,7.7,28,Dark Green,13,180,65,Healthy
30.9,7.2,5.0,29,Brown,5,292,54,Healthy
33.5,9.1,3.7,26,Dark Green,37,96,23,High
25.6,6.6,4.4,7,Brown,33,71,98,High
29.6,7.3,7.8,10,Black,10,235,85,Moderate
30.9,8.5,4.8,16,Light Green,4,241,66,Healthy
26.3,7.8,2.2,14,Green,10,228,73,Moderate
34.2,8.5,2.8,14,Dark Green,22,44,75,High
30.6,8.0,4.7,25,Brown,37,86,22,Moderate
34.5,8.4,4.6,29,Black,21,294,150,High
27.5,9.0,7.4,5,Light Green,31,226,131,Moderate
29.5,6.6,3.1,30,Green,15,171,71,Moderate
33.9,8.4,3.6,7,Green,11,183,135,Moderate
27.0,8.7,5.9,20,Dark Green,33,299,51,Moderate
28.8,6.6,2.5,17,Brown,31,131,53,High
30.5,6.6,6.8,17,Dark Green,14,194,145,Moderate
32.8,9.0,5.7,7,Brown,22,221,15,Moderate
24.5,6.7,2.1,20,Green,32,225,24,High
27.6,6.7,7.0,25,Green,32,32,94,Moderate
26.2,7.7,6.2,19,Black,37,226,1,Moderate
26.0,8.7,6.3,11,Brown,23,153,60,Moderate
26.7,8.2,4.6,29,Green,15,261,76,Healthy
24.3,7.9,7.9,27,Dark Green,38,101,56,Moderate
30.9,7.6,5.7,30,Brown,24,233,5,Moderate
25.6,6.7,6.8,33,Black,25,111,125,High
29.8,9.1,2.9,16,Green,16,136,143,High
27.2,8.2,6.4,19,Light Green,24,32,150,Healthy
24.1,6.7,5.5,19,Black,19,250,53,High
34.2,8.1,7.1,19,Dark Green,10,112,18,Moderate
34.2,8.9,7.4,24,Brown,5,63,4,Moderate
24.7,7.7,4.5,10,Black,12,35,115,Moderate
26.6,7.9,5.0,21,Black,4,34,117,Healthy
34.3,7.1,6.6,17,Black,23,126,125,High
31.7,6.6,5.0,8,Dark Green,0,295,14,Moderate
31.2,7.7,6.1,20,Green,6,262,92,Healthy
34.2,9.0,6.9,31,Dark Green,27,247,146,High
32.7,9.1,2.8,21,Brown,7,234,69,High
27.8,7.3,4.7,18,Dark Green,28,229,24,Moderate
30.7,9.0,4.7,17,Brown,31,34,121,Moderate
25.3,7.7,3.1,7,Light Green,21,108,141,High
24.7,8.8,2.4,24,Black,15,176,46,High
29.7,9.0,3.9,20,Light Green,27,177,39,Moderate
33.5,9.1,5.0,5,Dark Green,25,203,114,High
29.2,8.9,2.1,22,Green,19,27,2,Moderate
30.1,9.1,7.8,17,Black,4,239,124,Moderate
28.3,8.8,5.1,12,Dark Green,6,165,13,Moderate
25.1,8.4,7.6,31,Black,11,110,67,Moderate
24.4,8.1,2.4,30,Black,13,201,150,High
26.1,7.8,4.5,22,Green,17,269,30,Moderate
30.3,7.3,3.2,22,Dark Green,23,225,33,High
26.6,9.0,5.5,6,Dark Green,40,117,133,Moderate
27.3,8.1,3.6,12,Dark Green,31,49,59,High
27.1,8.0,2.7,20,Black,28,133,67,High
34.3,8.4,2.8,35,Green,37,169,22,High
29.7,8.2,3.4,10,Black,24,206,104,High
27.9,9.4,4.9,24,Light Green,16,61,65,Moderate
28.8,9.2,3.3,24,Green,8,82,70,Moderate
25.9,7.6,2.9,24,Dark Green,5,160,113,Moderate
31.5,9.3,7.3,21,Black,11,225,92,Moderate
29.0,6.6,2.0,33,Green,6,172,98,Moderate
29.7,7.3,3.2,21,Light Green,25,115,11,Moderate
28.4,7.1,2.3,21,Brown,3,180,99,Moderate
29.7,7.4,7.4,8,Light Green,11,129,55,Healthy
34.1,8.2,6.9,12,Dark Green,27,84,39,Moderate
27.7,7.7,4.0,10,Dark Green,27,186,65,Moderate
24.5,6.8,3.9,8,Light Green,12,32,89,High
27.5,6.5,4.7,25,Green,5,44,128,Healthy
25.8,8.1,3.1,33,Dark Green,4,92,82,Moderate
30.2,9.4,7.3,32,Light Green,21,31,148,Moderate
29.4,7.3,5.3,30,Light Green,37,78,27,Moderate
26.0,7.0,5.4,33,Green,31,59,28,Moderate
33.3,8.8,4.4,28,Dark Green,30,193,28,High
30.7,6.5,2.4,21,Black,21,150,73,High
34.9,7.2,5.1,35,Dark Green,40,260,70,High
30.6,9.1,4.9,22,Black,39,129,103,High
30.6,7.6,5.4,11,Brown,39,181,135,Moderate
32.9,8.3,5.4,21,Dark Green,39,71,117,Moderate
26.4,8.3,5.9,14,Light Green,21,121,23,Healthy
29.9,9.4,2.3,5,Green,1,282,79,Moderate
24.2,8.7,5.6,22,Brown,32,201,132,Moderate
31.5,7.0,2.5,28,Green,27,50,72,High
32.5,7.8,5.7,14,Dark Green,16,23,11,Moderate
35.0,7.4,2.5,19,Light Green,37,139,79,High
26.5,7.4,2.2,7,Green,38,297,47,Moderate
24.5,9.5,2.9,28,Brown,12,51,40,High
34.4,6.8,5.0,8,Green,6,257,109,Moderate
27.2,9.3,4.7,18,Black,17,103,7,High
32.2,6.7,5.7,16,Black,18,248,50,High
24.2,9.0,4.7,25,Green,28,28,40,Moderate
25.5,7.2,4.2,26,Brown,16,282,139,High
31.1,8.5,4.1,13,Light Green,14,188,128,Healthy
26.7,8.6,5.2,12,Green,26,47,140,Moderate
31.2,7.2,5.8,27,Brown,38,32,142,Moderate
24.9,7.0,4.6,31,Black,6,174,87,High
24.7,7.9,7.3,16,Dark Green,28,228,141,Moderate
24.4,9.4,5.5,32,Black,22,116,114,High
24.2,8.2,6.9,15,Light Green,17,96,33,Moderate
25.3,7.7,3.4,7,Brown,18,115,144,High
29.3,8.3,6.4,10,Light Green,9,144,103,Healthy
34.0,8.8,6.2,9,Dark Green,24,129,115,High
24.9,7.9,7.4,18,Black,30,71,2,High
29.6,9.4,6.1,16,Black,29,208,102,High
28.5,7.4,3.9,32,Dark Green,18,236,3,High
24.9,8.5,5.6,13,Green,24,288,87,Moderate
27.1,8.7,3.6,23,Black,34,60,2,High
33.5,9.5,7.8,33,Black,35,23,130,High
26.8,6.9,7.2,21,Brown,27,104,26,Moderate
31.6,7.9,3.9,8,Dark Green,33,152,85,High
34.1,7.8,5.3,31,Brown,2,89,124,Healthy
31.2,8.5,4.0,21,Light Green,35,263,120,Moderate
24.8,6.7,5.3,10,Black,34,244,12,High
32.2,8.4,7.7,16,Brown,33,222,66,Moderate
33.2,6.5,5.3,15,Light Green,26,292,86,Moderate
34.1,8.2,6.4,28,Light Green,2,246,41,Healthy
30.4,9.1,4.0,27,Black,24,116,81,High
28.2,8.0,7.2,9,Green,3,54,84,Healthy
32.6,8.9,4.7,31,Black,15,243,97,Moderate
32.4,6.8,6.9,11,Light Green,12,294,37,Moderate
32.9,9.2,3.1,23,Dark Green,14,178,53,High
25.3,7.6,2.9,23,Light Green,6,299,102,Moderate
33.2,7.9,3.0,14,Light Green,28,104,5,High
24.1,8.0,5.8,31,Light Green,2,111,141,Healthy
25.7,8.7,6.0,15,Black,40,106,37,High
33.9,7.4,2.6,26,Dark Green,7,97,76,High
24.9,7.9,6.1,35,Dark Green,34,82,40,Moderate
34.4,9.2,6.5,8,Black,25,120,35,High
33.7,9.4,4.4,20,Green,11,206,125,Moderate
31.8,7.4,5.4,24,Brown,33,179,61,Moderate
34.4,7.7,6.7,25,Black,28,262,104,High
27.4,8.9,2.0,20,Light Green,2,122,140,Moderate
26.2,7.5,2.3,21,Light Green,34,26,53,Moderate
33.3,9.1,2.6,29,Dark Green,22,216,59,High
28.4,7.6,5.3,19,Brown,13,178,118,Healthy
29.2,8.4,3.5,34,Brown,25,230,1,Moderate
28.0,9.2,2.0,18,Green,9,247,149,Moderate
31.2,7.0,3.7,23,Green,12,108,13,Moderate
33.0,6.8,2.9,6,Light Green,16,192,105,High
30.9,7.3,7.7,10,Dark Green,32,48,75,Moderate
24.4,7.8,2.7,19,Light Green,34,264,63,High
34.7,8.4,5.6,32,Green,19,23,113,Moderate
25.6,7.7,6.0,12,Dark Green,19,43,33,Moderate
33.8,7.9,6.2,7,Dark Green,10,230,60,Moderate
26.0,6.7,7.3,14,Dark Green,31,212,3,Moderate
27.3,8.5,7.8,26,Dark Green,23,213,10,Moderate
33.2,7.1,7.6,11,Dark Green,30,173,73,High
25.3,8.1,7.6,28,Brown,40,68,37,Moderate
34.0,7.1,5.7,11,Dark Green,23,129,19,High
34.7,8.5,5.0,14,Brown,26,53,118,Moderate
26.4,8.4,2.2,18,Black,30,105,38,High
29.4,8.9,6.3,7,Brown,12,93,53,Healthy
25.8,7.6,6.0,30,Green,7,263,138,Healthy
34.7,7.4,4.1,21,Green,20,24,67,Moderate
25.4,7.4,7.9,10,Black,6,117,23,Moderate
28.9,6.6,4.7,10,Light Green,30,99,4,Moderate
26.6,6.9,2.7,23,Light Green,30,149,61,High
24.8,8.0,3.7,35,Light Green,14,173,60,Moderate
32.1,9.2,2.1,18,Black,13,209,5,High
32.4,8.1,5.6,5,Green,11,223,38,Healthy
24.0,6.6,5.3,34,Brown,16,102,7,High
34.5,9.4,4.9,24,Brown,29,271,5,High
33.4,6.9,2.9,33,Dark Green,23,148,23,High
26.6,6.8,4.6,20,Brown,32,52,137,Moderate
25.7,8.9,4.7,13,Light Green,31,300,77,Moderate
32.7,7.8,3.5,6,Black,17,264,146,High
27.5,7.8,2.6,25,Light Green,0,236,43,Healthy
26.9,8.2,6.7,6,Light Green,15,296,31,Healthy
33.6,6.8,5.0,30,Brown,5,45,88,Moderate
24.1,8.2,2.2,17,Brown,31,234,7,High
33.7,8.6,3.5,15,Dark Green,26,104,122,High
29.7,7.1,2.5,21,Brown,27,206,64,High
31.6,7.7,5.5,20,Brown,10,127,16,Healthy
31.5,7.7,5.3,12,Light Green,33,127,128,Moderate
25.8,6.7,3.1,21,Green,19,243,35,High
24.8,7.8,3.9,14,Green,9,268,102,Moderate
26.4,8.4,8.0,7,Dark Green,13,163,5,Healthy
34.9,8.7,4.5,16,Light Green,29,138,150,Moderate
31.9,7.3,5.6,18,Green,6,123,97,Healthy
31.5,8.9,7.9,24,Dark Green,0,293,76,Moderate
34.7,8.9,4.5,14,Light Green,11,135,94,Moderate
26.7,7.1,4.8,31,Green,13,236,130,Healthy
29.2,6.5,2.0,18,Light Green,25,200,123,High
28.3,7.4,2.1,32,Green,18,206,3,Moderate
26.6,9.0,6.8,25,Black,10,269,129,Moderate
32.3,9.3,4.4,22,Green,37,215,128,Moderate
27.5,7.9,3.0,22,Brown,4,88,61,Moderate
28.8,6.5,4.7,14,Dark Green,22,121,10,High
30.0,6.9,3.2,32,Black,17,59,108,High
33.3,8.3,7.0,26,Green,29,198,103,Moderate
29.9,6.6,3.3,7,Brown,36,260,56,High
30.5,9.4,2.9,23,Green,25,91,94,High
29.4,9.2,3.2,13,Black,18,193,43,High
31.2,9.1,6.2,20,Green,19,287,148,Moderate
28.5,7.5,4.9,5,Brown,30,41,145,Moderate
28.5,8.2,4.3,23,Light Green,25,231,34,Moderate
26.3,9.1,3.2,14,Dark Green,13,202,89,High
24.3,9.1,7.3,21,Brown,9,188,1,Moderate
32.1,8.8,7.6,28,Dark Green,0,41,3,Moderate
33.6,8.5,4.9,11,Brown,12,156,42,Moderate
24.4,6.9,7.3,24,Black,1,165,128,Moderate
34.4,7.8,6.4,17,Dark Green,32,257,104,Moderate
26.7,8.8,4.6,22,Dark Green,15,237,52,Moderate
29.5,9.1,7.2,29,Black,28,150,137,High
35.0,8.3,6.0,31,Green,34,94,37,Moderate
32.1,9.4,4.7,30,Black,29,107,90,High
26.9,8.2,7.1,34,Dark Green,25,35,101,Moderate
31.1,9.3,7.7,26,Green,22,254,68,Moderate
28.8,8.2,4.1,15,Brown,25,225,1,Moderate
30.9,7.4,2.0,25,Dark Green,10,237,139,Moderate
29.8,7.8,5.8,9,Light Green,0,76,63,Healthy
34.2,6.5,2.9,31,Light Green,3,210,79,Moderate
30.2,8.9,2.5,13,Brown,7,100,115,Moderate
28.0,8.1,7.5,28,Green,7,57,62,Healthy
31.8,9.1,2.3,24,Light Green,7,83,34,Moderate
32.5,9.0,2.8,22,Brown,16,176,109,High
25.3,6.6,2.9,24,Light Green,19,183,102,High
29.4,7.5,6.1,10,Light Green,33,106,147,Healthy
34.4,9.4,4.9,10,Green,13,54,75,Moderate
27.2,7.1,5.5,35,Brown,31,136,127,Moderate
25.2,7.8,2.9,32,Black,2,91,140,High
26.5,8.1,3.3,6,Black,11,144,30,Moderate
28.8,8.2,4.9,25,Green,9,245,39,Healthy
28.6,7.4,6.6,25,Light Green,15,264,46,Healthy
34.6,6.9,5.6,25,Brown,5,221,91,Moderate
32.4,6.8,3.8,17,Light Green,22,221,148,High
25.4,8.1,5.9,13,Dark Green,14,112,125,Moderate
29.8,8.3,5.8,29,Dark Green,15,194,2,Healthy
30.2,8.8,3.2,21,Light Green,29,297,63,Moderate
32.2,8.6,7.6,27,Dark Green,14,35,149,Moderate
26.2,6.9,3.3,24,Brown,17,287,17,High
31.3,9.0,6.0,18,Brown,28,126,6,Moderate
27.7,9.3,4.9,6,Green,20,153,8,Moderate
24.0,8.9,3.3,26,Light Green,34,32,15,High
31.2,6.9,2.9,24,Light Green,18,111,33,High
33.2,7.0,3.0,35,Dark Green,3,292,96,High
28.9,8.2,4.6,30,Brown,26,141,96,Moderate
33.0,9.3,7.2,30,Light Green,26,129,34,Moderate
27.9,6.9,4.5,8,Black,10,258,58,Moderate
29.5,8.8,7.5,16,Green,31,297,38,Moderate
27.4,8.6,4.0,20,Dark Green,27,237,36,Moderate
24.7,9.1,2.0,24,Black,36,73,16,High
33.5,6.7,4.6,29,Dark Green,16,159,142,High
30.3,9.4,3.4,29,Black,33,242,129,High
24.2,7.7,2.3,27,Brown,20,30,49,High
28.9,8.7,4.9,31,Black,6,51,119,Moderate
32.3,8.6,6.6,19,Green,39,46,21,Moderate
33.1,7.3,6.7,29,Brown,34,217,118,Moderate
34.1,7.9,3.2,20,Green,38,292,73,High
27.8,8.1,7.2,15,Brown,32,154,95,Moderate
27.9,9.3,6.3,31,Brown,10,151,76,Moderate
26.5,8.8,6.7,31,Light Green,25,203,46,Moderate
25.8,9.3,6.8,9,Light Green,18,129,19,Moderate
31.9,8.7,3.6,27,Dark Green,12,45,114,High
25.2,8.9,2.2,21,Dark Green,37,127,32,High
33.6,9.2,7.5,23,Brown,22,285,36,High
26.1,8.2,6.0,14,Green,33,179,65,Healthy
27.6,6.8,7.1,18,Green,36,291,5,Moderate
31.0,7.6,5.1,34,Dark Green,35,27,143,Moderate
28.3,7.3,6.6,5,Dark Green,5,249,138,Healthy
28.2,6.8,6.0,17,Green,10,30,25,Healthy
30.7,8.2,3.2,9,Brown,31,72,81,Moderate
